vid,sample_name,fid,exp,iou
M6vnA5H5R1M_85000_95000,M6vnA5H5R1M_85000_95000_table_4,0,The object positioned behind the sounding erhu.,0
tMorLZku6Pc_194000_204000,tMorLZku6Pc_194000_204000_tabla_3,3,The tabla making no sound.,0
oRSCL3149fI_146000_156000,oRSCL3149fI_146000_156000_clarinet_3,1,The sounding object in front of the piano.,0
r4NdM595K5c_40000_50000,r4NdM595K5c_40000_50000_flute_6,2,Played by the man dressed in black_the instrument resounded.,0
QNiHU290owU_55000_65000,QNiHU290owU_55000_65000_chair_2,0,The chair appearing through the entire video.,0
ZU0JSxWk1Po_2000_12000,ZU0JSxWk1Po_2000_12000_guzheng_2,1,The sounding object on the right of the pipa.,0
OPVEPq_r-vk_211000_221000,OPVEPq_r-vk_211000_221000_saxophone_5,1,The entity producing sound through being played by the man.,0
QNiHU290owU_55000_65000,QNiHU290owU_55000_65000_chair_1,0,The object on the right of the sounding marimba.,0
Pe1LuVFTczE_358000_368000,Pe1LuVFTczE_358000_368000_pipa_5,3,The rhythm of the entity accelerating over time.,0
6tTLxIKVtfE_26000_36000,6tTLxIKVtfE_26000_36000_flute_3,2,The object that keeps making sound at all times.,0
5FYG_Wtet7U_120000_130000,5FYG_Wtet7U_120000_130000_handpan_2,3,The object making a sound by being played by the man sitting on the right side of the couch.,0
4k63MOSjOBw_21000_31000,4k63MOSjOBw_21000_31000_violin_2,0,The object that making a sound after the piano.,0
ZR3vnlhJuSE_101000_111000,ZR3vnlhJuSE_101000_111000_bass_4,0,The object producing intermittent sound.,0
79T0FclnIDw_0_10000,79T0FclnIDw_0_10000_couch_1,2,The couch staying still.,0
2QKv1iBsTJM_190000_200000,2QKv1iBsTJM_190000_200000_table_2,2,The table on the left of the sounding suona.,0
z3Q_mZgKLrM_20000_30000,z3Q_mZgKLrM_20000_30000_marimba_5,2,Near the saxophone_the sounding object stood.,0
oRSCL3149fI_87000_97000,oRSCL3149fI_87000_97000_clarinet_4,0,The object emitting the most intense sound.,0
sfv_msSOYTo_10000_20000,sfv_msSOYTo_10000_20000_harp_4,0,The woman's played object emitting sound.,0
tMorLZku6Pc_194000_204000,tMorLZku6Pc_194000_204000_tabla_6,3,The tablas remained silent.,0
4YLjVRZHoZI_1750000_1760000,4YLjVRZHoZI_1750000_1760000_violin_2,9,The object rhythm is slower over the time.,0
lcOP60uXMeI_396000_406000,lcOP60uXMeI_396000_406000_piano_1,5,The object making a sound by being played by the man on the left,0
4DCxlVTWN8g_3000_13000,4DCxlVTWN8g_3000_13000_guzheng_3,1,The sounding object on the right of the pipa.,0
PdHpl04tQV8_40000_50000,PdHpl04tQV8_40000_50000_marimba_1,1,The object making a sound by being played by the man.,0
D8H9mRHTvso_30000_40000,D8H9mRHTvso_30000_40000_clarinet_6,3,The sounding entity near the man.,0
lcOP60uXMeI_20000_30000,lcOP60uXMeI_20000_30000_clarinet_2,4,The object making a sound by being played by the woman on the far right,0
oRSCL3149fI_146000_156000,oRSCL3149fI_146000_156000_clarinet_4,1,The object producing a louder sound than the piano.,0
4GUrjmIZcIQ_82000_92000,4GUrjmIZcIQ_82000_92000_chair_6,3,The chair occupied by the piano player.,0
dRa7aBGnStU_82000_92000,dRa7aBGnStU_82000_92000_handpan_2,1,The object making longer sound duration than the violin.,0
sfv_msSOYTo_10000_20000,sfv_msSOYTo_10000_20000_harp_3,0,The sounding object on the left of the marimba.,0
bcGfmy0X-CQ_30000_40000,bcGfmy0X-CQ_30000_40000_chair_4,0,The chair situated to the right of the man.,0
q3YnhPgt-rM_118000_128000,q3YnhPgt-rM_118000_128000_cello_1,1,the cello on the far right.,0
CjQmcO_Q5d8_42000_52000,CjQmcO_Q5d8_42000_52000_clarinet_1,0,The clarinet being played by a man.,0
7pNykt6zACc_275000_285000,7pNykt6zACc_275000_285000_chair_1,1,The chair is seated by a woman with hair draped over her.,0
pNV8MKNqOkI_20000_30000,pNV8MKNqOkI_20000_30000_cello_4,1,Near the clarinet_the cello stood.,0
79T0FclnIDw_0_10000,79T0FclnIDw_0_10000_woman_1,1,The sounding object on the right of the boy.,0
sfv_msSOYTo_10000_20000,sfv_msSOYTo_10000_20000_harp_2,0,The object making the slowest rhythm.,0
wdB0tV2egxE_260000_270000,wdB0tV2egxE_260000_270000_chair_4,0,Positioned in front of the standing man on the right_the sounding object stood.,0
vVJ-Zhj2HvU_22000_32000,vVJ-Zhj2HvU_22000_32000_flute_3,1,The object making louder sound than the piano.,0
wdB0tV2egxE_260000_270000,wdB0tV2egxE_260000_270000_chair_2,0,The chair on the right of a standing man.,0
mUN93MlvX64_42000_52000,mUN93MlvX64_42000_52000_piano_3,6,The object making the lowest sound.,0
CjQmcO_Q5d8_42000_52000,CjQmcO_Q5d8_42000_52000_piano_4,4,The object emitting a lower sound than the clarinet.,0
EuU2PWB1t2g_20000_30000,EuU2PWB1t2g_20000_30000_piano_2,0,The first object to make a sound.,0
Pe1LuVFTczE_358000_368000,Pe1LuVFTczE_358000_368000_pipa_2,3,The object rhythm is faster over the time.,0
hYt2Qf438l8_40000_50000,hYt2Qf438l8_40000_50000_saxophone_2,1,The object making a sound by being played by the man.,0
jj1UxRTBaNw_210000_220000,jj1UxRTBaNw_210000_220000_guzheng_2,4,The sounding object on the left of the piano.,0
4k63MOSjOBw_21000_31000,4k63MOSjOBw_21000_31000_violin_3,0,The object making the fastest rhythm.,0
J_r9nOIoozw_133000_143000,J_r9nOIoozw_133000_143000_man_5,0,The man situated to the left of the woman.,0
U1dZX1ReD88_48000_58000,U1dZX1ReD88_48000_58000_saxophone_4,1,The object with the longest sound duration.,0
r4NdM595K5c_40000_50000,r4NdM595K5c_40000_50000_flute_1,2,The sounding object on the left of the guitar.,0
9xp46AwF9BY_38000_48000,9xp46AwF9BY_38000_48000_piano_4,3,The object emitting the swiftest tempo.,0
U1dZX1ReD88_48000_58000,U1dZX1ReD88_48000_58000_saxophone_5,1,The object that produces sound continuously.,0
pNV8MKNqOkI_20000_30000,pNV8MKNqOkI_20000_30000_cello_2,1,The sounding object on the left of the clarinet.,0
4GUrjmIZcIQ_82000_92000,4GUrjmIZcIQ_82000_92000_chair_1,0,The chair near the bassoon.,0
lcOP60uXMeI_20000_30000,lcOP60uXMeI_20000_30000_clarinet_5,4,The instrument being played by the woman on the far right.,0
CjQmcO_Q5d8_42000_52000,CjQmcO_Q5d8_42000_52000_clarinet_5,0,The sounding entity positioned in front of the piano.,0
WSy8ay1avew_60000_70000,WSy8ay1avew_60000_70000_chair_2,2,The object under the sounding man playing accordion.,0
jj1UxRTBaNw_210000_220000,jj1UxRTBaNw_210000_220000_guzheng_4,4,The object producing a lower sound than the piano.,0
9xp46AwF9BY_38000_48000,9xp46AwF9BY_38000_48000_piano_1,3,The object making the fastest rhythm.,0
sfv_msSOYTo_10000_20000,sfv_msSOYTo_10000_20000_harp_6,0,Positioned left of the marimba_the sounding object stood.,0
FMx1BqhCDIk_90000_100000,FMx1BqhCDIk_90000_100000_couch_3,2,The object behind the sounding man.,0
JrpAtKkqQ_A_12000_22000,JrpAtKkqQ_A_12000_22000_piano_1,0,The sounding object on the right of the guitar.,0
wdB0tV2egxE_260000_270000,wdB0tV2egxE_260000_270000_chair_3,3,The chair on the far left.,0
6tTLxIKVtfE_26000_36000,6tTLxIKVtfE_26000_36000_flute_5,2,The sounding entity in front of the man on the right.,0
zPMUL7f4OOU_420000_430000,zPMUL7f4OOU_420000_430000_violin_1,1,The violin far the sounding cello.,0
dRa7aBGnStU_82000_92000,dRa7aBGnStU_82000_92000_handpan_3,1,The first object to make a sound.,0
dVa49WwXzr8_481000_491000,dVa49WwXzr8_481000_491000_marimba_6,1,The sounding object to the left of the harmonious harp.,0
QHcG-FDM75Q_113000_123000,QHcG-FDM75Q_113000_123000_saxophone_2,0,The object making a sound by being played by the man on the left.,0
7pWa_kcAoMg_49000_59000,7pWa_kcAoMg_49000_59000_saxophone_2,0,the object making a sound by being played by a man.,0
p5uRwtw7S3E_243000_253000,p5uRwtw7S3E_243000_253000_saxophone_2,0,The sounding object near the man.,0
SFVZ2OklsVM_2715000_2725000,SFVZ2OklsVM_2715000_2725000_couch_1,4,The yellow couch.,0
TCcD-vOUtNc_99000_109000,TCcD-vOUtNc_99000_109000_chair_1,3,The object under the woman in red.,0
Pe1LuVFTczE_358000_368000,Pe1LuVFTczE_358000_368000_pipa_4,3,The entity producing the swiftest rhythm.,0
F1x1ck3OySg_10000_20000,F1x1ck3OySg_10000_20000_flute_3,3,The object making the loudest sound.,0
WSy8ay1avew_60000_70000,WSy8ay1avew_60000_70000_chair_3,2,The object under the sounding accordion.,0
oRSCL3149fI_87000_97000,oRSCL3149fI_87000_97000_clarinet_3,0,The object making louder sound than the piano.,0
BRAQLY85x5U_75000_85000,BRAQLY85x5U_75000_85000_chair_2,9,The chair seated by the woman playing the harp.,0
z3Q_mZgKLrM_20000_30000,z3Q_mZgKLrM_20000_30000_marimba_1,2,The object making a sound by being played by the man in red.,0
2VqnoV67t0g_290000_300000,2VqnoV67t0g_290000_300000_marimba_1,0,The object making a sound by being played by the woman.,0
OFgcrlxku9g_160000_170000,OFgcrlxku9g_160000_170000_saxophone_6,0,The sounding entity to the right of the man seated beside the woman.,0
w7vA5f0vPvQ_15000_25000,w7vA5f0vPvQ_15000_25000_flute_5,4,Controlled by the person on the left_the object sounded.,0
4k63MOSjOBw_21000_31000,4k63MOSjOBw_21000_31000_piano_1,2,The first object to make a sound.,0
a1nWlW629TU_15000_25000,a1nWlW629TU_15000_25000_marimba_2,1,The sounding object near the woman on the right.,0
a1nWlW629TU_15000_25000,a1nWlW629TU_15000_25000_marimba_1,1,The sounding object in front of the woman standing on the right.,0
2QKv1iBsTJM_190000_200000,2QKv1iBsTJM_190000_200000_table_1,2,The table far the drum.,0
lcOP60uXMeI_396000_406000,lcOP60uXMeI_396000_406000_piano_5,5,The object with the most rapid rhythm.,0
F1x1ck3OySg_10000_20000,F1x1ck3OySg_10000_20000_guitar_5,0,The sounding entity to the right of the flute.,0
7pWa_kcAoMg_49000_59000,7pWa_kcAoMg_49000_59000_saxophone_5,0,The object being played by a man.,0
9xp46AwF9BY_38000_48000,9xp46AwF9BY_38000_48000_piano_5,3,The object emitting the lowest sound.,0
rzKjN2en0H8_830000_840000,rzKjN2en0H8_830000_840000_accordion_1,3,The object making the loudest sound.,0
JlMeXmoMEEM_35000_45000,JlMeXmoMEEM_35000_45000_flute_1,2,The object making the loudest sound.,0
lcOP60uXMeI_20000_30000,lcOP60uXMeI_20000_30000_piano_5,6,The sounding object near the man wearing glasses.,0
xUQ9rDswHdw_140000_150000,xUQ9rDswHdw_140000_150000_pipa_4,2,To the right of the bald man_the sounding object stood.,0
F1x1ck3OySg_10000_20000,F1x1ck3OySg_10000_20000_flute_6,3,The object emitting the most intense sound.,0
ZR3vnlhJuSE_101000_111000,ZR3vnlhJuSE_101000_111000_bass_3,0,The object making the shortest sound duration.,0
z3Q_mZgKLrM_20000_30000,z3Q_mZgKLrM_20000_30000_marimba_3,2,The sounding object on the right of the drum.,0
xUQ9rDswHdw_140000_150000,xUQ9rDswHdw_140000_150000_pipa_2,2,The sounding object near the bald man.,0
U1dZX1ReD88_48000_58000,U1dZX1ReD88_48000_58000_saxophone_6,1,The object being played by the standing man.,0
OPVEPq_r-vk_211000_221000,OPVEPq_r-vk_211000_221000_saxophone_6,1,The entity being played by the man.,0
2VqnoV67t0g_290000_300000,2VqnoV67t0g_290000_300000_marimba_6,0,The marimba being played by a woman.,0
URZyjoh9lbc_560000_570000,URZyjoh9lbc_560000_570000_chair_2,1,The brown chair,0
F1x1ck3OySg_10000_20000,F1x1ck3OySg_10000_20000_guitar_2,0,The sounding object on the right of the flute.,0
CjQmcO_Q5d8_42000_52000,CjQmcO_Q5d8_42000_52000_clarinet_3,0,The object volume is louder over the time.,0
lcOP60uXMeI_20000_30000,lcOP60uXMeI_20000_30000_clarinet_6,4,The perpetually sounding object.,0
CCFZT2_TJr0_15000_25000,CCFZT2_TJr0_15000_25000_piano_4,4,The object emitting the lowest sound.,0
lcOP60uXMeI_20000_30000,lcOP60uXMeI_20000_30000_clarinet_1,4,The object making a sound by being played by the woman on the right,0
45oaGY3mzlQ_5000_15000,45oaGY3mzlQ_5000_15000_violin_5,1,The entity with the lengthiest sound duration.,0
2QKv1iBsTJM_190000_200000,2QKv1iBsTJM_190000_200000_man_2,0,The sounding object on the left of the table.,0
zPMUL7f4OOU_420000_430000,zPMUL7f4OOU_420000_430000_violin_5,1,The object's rhythm slows over time.,0
z3Q_mZgKLrM_20000_30000,z3Q_mZgKLrM_20000_30000_marimba_4,2,Controlled by the man dressed in red_the object sounded.,0
pNV8MKNqOkI_20000_30000,pNV8MKNqOkI_20000_30000_cello_3,1,The sounding object near the clarinet.,0
FHSoSamzdAY_845000_855000,FHSoSamzdAY_845000_855000_violin_4,0,The object emitting the most intense sound.,0
ehlPuuiNEd8_376000_386000,ehlPuuiNEd8_376000_386000_pipa_4,1,The sounding object near the far-left man.,0
WSy8ay1avew_60000_70000,WSy8ay1avew_60000_70000_chair_1,2,The object being seated by the man.,0
PSoKYh3ea1o_60000_70000,PSoKYh3ea1o_60000_70000_clarinet_1,3,The object making a sound by being played by a man sitting on the right.,0
oRSCL3149fI_87000_97000,oRSCL3149fI_87000_97000_clarinet_1,0,The object making the loudest sound.,0
oaYIWYXFMqY_70000_80000,oaYIWYXFMqY_70000_80000_handpan_3,1,The object making the longest sound duration.,0
6tTLxIKVtfE_26000_36000,6tTLxIKVtfE_26000_36000_flute_4,2,The object being played by the man on the right.,0
zstao4nIPmU_250000_260000,zstao4nIPmU_250000_260000_table_3,3,The black table.,0
45oaGY3mzlQ_5000_15000,45oaGY3mzlQ_5000_15000_violin_2,1,The object making the longest sound duration.,0
ETmo71vP7tA_20000_30000,ETmo71vP7tA_20000_30000_clarinet_1,2,The object making the loudest sound.,0
QHcG-FDM75Q_113000_123000,QHcG-FDM75Q_113000_123000_saxophone_5,0,The entity producing sound through being played by the man on the left.,0
URZyjoh9lbc_500000_510000,URZyjoh9lbc_500000_510000_dog_1,0,The object sitting by the woman.,0
lcOP60uXMeI_396000_406000,lcOP60uXMeI_396000_406000_clarinet_1,0,The object making a sound by being played by the woman on the right,0
UViY20HJWaI_140000_150000,UViY20HJWaI_140000_150000_marimba_4,1,The sounding object to the right of the harp.,0
4DCxlVTWN8g_3000_13000,4DCxlVTWN8g_3000_13000_pipa_3,0,The sounding object on the left of the guzheng.,0
p5uRwtw7S3E_243000_253000,p5uRwtw7S3E_243000_253000_saxophone_6,0,The instrument with the shortest sustained sound.,0
r4NdM595K5c_40000_50000,r4NdM595K5c_40000_50000_flute_5,2,The instrument with the lengthiest sustained sound.,0
79T0FclnIDw_0_10000,79T0FclnIDw_0_10000_boy_4,0,The entity emitting sound prior to the woman.,0
2VqnoV67t0g_290000_300000,2VqnoV67t0g_290000_300000_marimba_5,4,The entity producing sound through woman's strikes.,0
q3YnhPgt-rM_118000_128000,q3YnhPgt-rM_118000_128000_violin_6,13,Controlled by the woman with long hair seated center stage_the instrument resounded.,0
45oaGY3mzlQ_5000_15000,45oaGY3mzlQ_5000_15000_violin_1,1,The first object to make a sound.,0
zstao4nIPmU_250000_260000,zstao4nIPmU_250000_260000_table_5,2,In front of the man wearing glasses_the table stood.,0
4GUrjmIZcIQ_82000_92000,4GUrjmIZcIQ_82000_92000_chair_2,0,The chair in front of the piano.,0
dUcOkRkz6bA_387000_397000,dUcOkRkz6bA_387000_397000_man_6,6,The singing activity generating sound.,0
lcOP60uXMeI_20000_30000,lcOP60uXMeI_20000_30000_clarinet_4,4,The instrument being played by the woman on the right.,0
2QKv1iBsTJM_190000_200000,2QKv1iBsTJM_190000_200000_table_4,2,The table distant from the drum.,0
M6vnA5H5R1M_85000_95000,M6vnA5H5R1M_85000_95000_table_2,0,The black table.,0
CjQmcO_Q5d8_42000_52000,CjQmcO_Q5d8_42000_52000_piano_1,4,The object making lower sound than the clarinet.,0
UViY20HJWaI_140000_150000,UViY20HJWaI_140000_150000_marimba_2,1,The object making a sound by being played by the man.,0
2QKv1iBsTJM_190000_200000,2QKv1iBsTJM_190000_200000_man_5,0,The sounding entity to the left of the table.,0
pNV8MKNqOkI_20000_30000,pNV8MKNqOkI_20000_30000_cello_5,1,Positioned to the left of the clarinet_the sounding object sat.,0
CCFZT2_TJr0_15000_25000,CCFZT2_TJr0_15000_25000_clarinet_2,0,The object making faster rhythm than the piano.,0
D8H9mRHTvso_30000_40000,D8H9mRHTvso_30000_40000_clarinet_4,3,The sounding entity to the left of the piano.,0
F1x1ck3OySg_10000_20000,F1x1ck3OySg_10000_20000_flute_5,3,The object with a faster rhythm than the guitar.,0
PdHpl04tQV8_40000_50000,PdHpl04tQV8_40000_50000_marimba_2,1,The object making a sound by being beaten with sticks.,0
CjQmcO_Q5d8_42000_52000,CjQmcO_Q5d8_42000_52000_clarinet_2,0,The sounding object in front of the sounding piano.,0
dRa7aBGnStU_82000_92000,dRa7aBGnStU_82000_92000_violin_3,0,The object making shorter sound duration than the handpan.,0
7pNykt6zACc_275000_285000,7pNykt6zACc_275000_285000_chair_5,1,The chair occupied by a woman wearing a mask.,0
2VqnoV67t0g_290000_300000,2VqnoV67t0g_290000_300000_marimba_4,0,The entity played by the woman.,0
z3Q_mZgKLrM_20000_30000,z3Q_mZgKLrM_20000_30000_marimba_6,2,To the right of the drum_the sounding object stood.,0
r4NdM595K5c_40000_50000,r4NdM595K5c_40000_50000_flute_2,2,The object making the longest sound duration.,0
CCFZT2_TJr0_15000_25000,CCFZT2_TJr0_15000_25000_clarinet_5,0,The object producing a faster rhythm than the piano.,0
J_r9nOIoozw_133000_143000,J_r9nOIoozw_133000_143000_woman_5,3,The woman situated to the right of the man.,0
xnx3u5YaNuc_402000_412000,xnx3u5YaNuc_402000_412000_woman_4,1,The woman near the initial sounding object.,0
QHcG-FDM75Q_113000_123000,QHcG-FDM75Q_113000_123000_saxophone_4,0,The entity producing the swiftest rhythm.,0
URZyjoh9lbc_500000_510000,URZyjoh9lbc_500000_510000_dog_2,0,The dog in front of a woman.,0
vVJ-Zhj2HvU_22000_32000,vVJ-Zhj2HvU_22000_32000_piano_1,3,The first object to make a sound.,0
7pNykt6zACc_275000_285000,7pNykt6zACc_275000_285000_chair_6,1,The chair occupied by the woman not playing the piano.,0
q3YnhPgt-rM_118000_128000,q3YnhPgt-rM_118000_128000_violin_1,2,the violin on the far left.,0
5FYG_Wtet7U_120000_130000,5FYG_Wtet7U_120000_130000_handpan_5,3,The object being played by the man seated on the right side of the couch.,0
U1dZX1ReD88_48000_58000,U1dZX1ReD88_48000_58000_saxophone_2,1,The object that keeps making sound at all times.,0
sHyhvtLTCbo_10000_20000,sHyhvtLTCbo_10000_20000_chair_4,1,Occupied by the man_the chair emitted sound.,0
oaYIWYXFMqY_70000_80000,oaYIWYXFMqY_70000_80000_flute_4,4,The object generating the slowest tempo.,0
4rerQA8KMzM_10000_20000,4rerQA8KMzM_10000_20000_chair_5,4,The entity positioned behind the woman producing sound.,0
8cmMa2PUnvQ_30000_40000,8cmMa2PUnvQ_30000_40000_chair_1,1,The chair being sat on by a woman.,0
OGCyzmaM_kE_10000_20000,OGCyzmaM_kE_10000_20000_piano_2,4,The instrument that didn't make any sound.,0
dVa49WwXzr8_481000_491000,dVa49WwXzr8_481000_491000_marimba_4,1,The instrument being played by the man on the left_producing sound.,0
UViY20HJWaI_140000_150000,UViY20HJWaI_140000_150000_marimba_1,1,The sounding object on the right of the harp.,0
D8H9mRHTvso_30000_40000,D8H9mRHTvso_30000_40000_clarinet_5,3,The object being played by the man wearing glasses_emitting sound.,0
pNV8MKNqOkI_20000_30000,pNV8MKNqOkI_20000_30000_guitar_2,2,The sounding object on the right of the saxophone.,0
45oaGY3mzlQ_5000_15000,45oaGY3mzlQ_5000_15000_violin_3,1,The object making the loudest sound.,0
oaYIWYXFMqY_70000_80000,oaYIWYXFMqY_70000_80000_handpan_2,1,The first object to make a sound.,0
rozFJYWrLj0_120000_130000,rozFJYWrLj0_120000_130000_man_1,0,The object making lower sound than the woman.,0
lcOP60uXMeI_396000_406000,lcOP60uXMeI_396000_406000_clarinet_6,0,The instrument being played by the woman on the right.,0
oRSCL3149fI_146000_156000,oRSCL3149fI_146000_156000_piano_1,0,The object making lower sound than the clairnet.,0
6tTLxIKVtfE_26000_36000,6tTLxIKVtfE_26000_36000_flute_1,2,The object making a sound by being played by the man on the right.,0
bcGfmy0X-CQ_30000_40000,bcGfmy0X-CQ_30000_40000_chair_1,0,The chair on the right of the man.,0
lcOP60uXMeI_396000_406000,lcOP60uXMeI_396000_406000_clarinet_5,0,The sounding object to the right of the cello.,0
q3YnhPgt-rM_118000_128000,q3YnhPgt-rM_118000_128000_violin_4,2,The violin occupied the farthest left position.,0
dRa7aBGnStU_82000_92000,dRa7aBGnStU_82000_92000_violin_5,0,The object producing sound following the handpan.,0
D8H9mRHTvso_30000_40000,D8H9mRHTvso_30000_40000_clarinet_2,3,The object making a sound by being played by the man wearing the glasses.,0
2QKv1iBsTJM_190000_200000,2QKv1iBsTJM_190000_200000_table_3,2,The table.,0
6WUjWMuoEhM_10000_20000,6WUjWMuoEhM_10000_20000_hair-dryer_4,0,The entity emitting the most intense sound.,0
6tTLxIKVtfE_26000_36000,6tTLxIKVtfE_26000_36000_flute_6,2,The perpetual noise-emitting object.,0
pNV8MKNqOkI_20000_30000,pNV8MKNqOkI_20000_30000_cello_6,1,Adjacent to the clarinet_the sounding object stood.,0
z3Q_mZgKLrM_20000_30000,z3Q_mZgKLrM_20000_30000_marimba_2,2,The sounding object near the saxophone.,0
p5uRwtw7S3E_243000_253000,p5uRwtw7S3E_243000_253000_saxophone_5,0,Close to the man_the sounding object stood.,0
79T0FclnIDw_0_10000,79T0FclnIDw_0_10000_couch_3,3,The farbic couch.,0
